Site,MAP,GDGT-0,GDGT-1',isoGDGT-1,isoGDGT-2',isoGDGT-2,isoGDGT-3',isoGDGT-3,isoGDGT-4,Crenarchaeol,Cren',brGDGT Ia,brGDGT Ib,brGDGT Ic,brGDGT IIa ,brGDGT IIa',brGDGT IIb,brGDGT IIb',brGDGT IIc,brGDGT IIc',brGDGT IIIa,brGDGT IIIa',brGDGT IIIb,brGDGT IIIb',brGDGT IIIc,brGDGT IIIc'
site_153,1659,0.1225,0.0047,0.1197,0.0081,0.1590,0.0119,0.0815,0.0056,0.0019,0.0007,0.4582,0.0105,0.0066,0.0048,0.0043,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
site_154,1659,0.1677,0.0319,0.0125,0.0072,0.0149,0.0011,0.0072,0.0133,0.0193,0.0042,0.6673,0.0023,0.0014,0.0300,0.0126,0.0000,0.0000,0.0000,0.0000,0.0052,0.0020,0.0000,0.0000,0.0000,0.0000
site_155,1659,0.1095,0.0075,0.0752,0.0062,0.0638,0.0025,0.0464,0.0055,0.0029,0.0005,0.6551,0.0000,0.0000,0.0130,0.0054,0.0000,0.0000,0.0000,0.0000,0.0047,0.0017,0.0000,0.0000,0.0000,0.0000
site_156,1659,0.0765,0.0211,0.0033,0.0035,0.0015,0.0006,0.0015,0.0010,0.0010,0.0003,0.8279,0.0032,0.0000,0.0328,0.0223,0.0000,0.0000,0.0000,0.0000,0.0028,0.0008,0.0000,0.0000,0.0000,0.0000
site_157,1659,0.1013,0.0198,0.0047,0.0066,0.0053,0.0013,0.0025,0.0094,0.0128,0.0041,0.7977,0.0013,0.0000,0.0000,0.0201,0.0133,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
site_158,1275,0.1351,0.0427,0.0120,0.0038,0.0106,0.0006,0.0052,0.0010,0.0006,0.0002,0.7330,0.0060,0.0000,0.0280,0.0176,0.0000,0.0000,0.0000,0.0000,0.0029,0.0006,0.0000,0.0000,0.0000,0.0000
site_159,1275,0.0116,0.0001,0.0066,0.0072,0.0066,0.0005,0.0027,0.0025,0.0033,0.0004,0.8858,0.0049,0.0000,0.0440,0.0192,0.0000,0.0000,0.0000,0.0000,0.0028,0.0019,0.0000,0.0000,0.0000,0.0000
site_160,1275,0.1382,0.0388,0.0035,0.0061,0.0033,0.0000,0.0014,0.0000,0.0000,0.0000,0.7525,0.0000,0.0000,0.0371,0.0154,0.0000,0.0000,0.0000,0.0000,0.0030,0.0008,0.0000,0.0000,0.0000,0.0000
site_161,1275,0.1890,0.0691,0.0092,0.0078,0.0078,0.0006,0.0045,0.0000,0.0000,0.0000,0.6713,0.0048,0.0000,0.0260,0.0099,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
site_162,1275,0.0782,0.0172,0.0200,0.0038,0.0162,0.0009,0.0094,0.0034,0.0036,0.0006,0.7960,0.0052,0.0000,0.0311,0.0145,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
site_163,1895,0.1454,0.0278,0.0059,0.0034,0.0056,0.0004,0.0021,0.0033,0.0044,0.0003,0.7386,0.0000,0.0000,0.0436,0.0191,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
site_164,1895,0.1054,0.0163,0.0045,0.0030,0.0063,0.0006,0.0023,0.0069,0.0087,0.0012,0.8024,0.0019,0.0018,0.0228,0.0134,0.0000,0.0000,0.0000,0.0000,0.0012,0.0012,0.0000,0.0000,0.0000,0.0000
site_165,1895,0.1325,0.0259,0.0073,0.0012,0.0049,0.0003,0.0020,0.0072,0.0095,0.0002,0.7568,0.0021,0.0000,0.0374,0.0128,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
site_166,1895,0.1893,0.0359,0.0067,0.0049,0.0089,0.0009,0.0021,0.0135,0.0211,0.0041,0.6609,0.0010,0.0000,0.0362,0.0145,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
site_167,1895,0.2877,0.0456,0.0076,0.0053,0.0103,0.0011,0.0032,0.0113,0.0176,0.0026,0.5634,0.0023,0.0000,0.0280,0.0139,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
site_168,1426,0.1517,0.0581,0.0068,0.0099,0.0043,0.0004,0.0016,0.0042,0.0071,0.0008,0.7326,0.0010,0.0000,0.0171,0.0044,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
site_169,1426,0.2022,0.0861,0.0075,0.0082,0.0110,0.0018,0.0062,0.0275,0.0379,0.0076,0.5781,0.0026,0.0000,0.0164,0.0050,0.0000,0.0000,0.0000,0.0000,0.0014,0.0005,0.0000,0.0000,0.0000,0.0000
site_170,1426,0.1529,0.0487,0.0110,0.0064,0.0079,0.0008,0.0046,0.0060,0.0081,0.0010,0.7281,0.0023,0.0000,0.0166,0.0041,0.0000,0.0000,0.0000,0.0000,0.0008,0.0006,0.0000,0.0000,0.0000,0.0000
site_171,1426,0.1504,0.0654,0.0115,0.0104,0.0189,0.0019,0.0082,0.0328,0.0432,0.0065,0.6294,0.0032,0.0000,0.0108,0.0074,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
site_172,1426,0.1737,0.0518,0.0082,0.0095,0.0071,0.0007,0.0039,0.0113,0.0166,0.0017,0.6897,0.0016,0.0000,0.0181,0.0046,0.0000,0.0000,0.0000,0.0000,0.0012,0.0003,0.0000,0.0000,0.0000,0.0000
site_173,1032,0.0370,0.0192,0.0064,0.0041,0.0045,0.0002,0.0015,0.0073,0.0111,0.0015,0.8308,0.0138,0.0059,0.0276,0.0196,0.0023,0.0028,0.0000,0.0000,0.0019,0.0024,0.0000,0.0000,0.0000,0.0000
site_174,1032,0.0598,0.0126,0.0035,0.0042,0.0063,0.0003,0.0033,0.0041,0.0044,0.0004,0.8632,0.0059,0.0037,0.0202,0.0081,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
site_175,1032,0.1111,0.0271,0.0087,0.0038,0.0021,0.0003,0.0005,0.0025,0.0034,0.0005,0.8056,0.0025,0.0016,0.0209,0.0095,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
site_176,1032,0.0519,0.0113,0.0153,0.0022,0.0107,0.0008,0.0065,0.0152,0.0262,0.0023,0.8100,0.0096,0.0043,0.0186,0.0116,0.0015,0.0020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
site_177,1032,0.0742,0.0209,0.0073,0.0048,0.0042,0.0002,0.0020,0.0015,0.0019,0.0004,0.8473,0.0038,0.0034,0.0152,0.0112,0.0000,0.0000,0.0000,0.0000,0.0009,0.0008,0.0000,0.0000,0.0000,0.0000
site_178,1295,0.1773,0.0621,0.0155,0.0036,0.0198,0.0009,0.0103,0.0098,0.0133,0.0027,0.6676,0.0000,0.0000,0.0171,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
site_179,1295,0.2614,0.0587,0.0078,0.0039,0.0096,0.0011,0.0044,0.0110,0.0148,0.0028,0.6095,0.0000,0.0000,0.0106,0.0043,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
site_180,1295,0.2032,0.0630,0.0046,0.0064,0.0047,0.0012,0.0025,0.0113,0.0184,0.0022,0.6606,0.0000,0.0000,0.0196,0.0025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
site_181,1295,0.1030,0.0373,0.0128,0.0128,0.0220,0.0046,0.0159,0.0660,0.1014,0.0319,0.5861,0.0061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
site_182,1295,0.2691,0.1052,0.0073,0.0081,0.0097,0.0021,0.0044,0.0297,0.0480,0.0081,0.4969,0.0000,0.0000,0.0077,0.0036,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
site_183,1382,0.0380,0.0091,0.0024,0.0010,0.0012,0.0000,0.0005,0.0007,0.0013,0.0002,0.9063,0.0031,0.0008,0.0284,0.0047,0.0000,0.0000,0.0000,0.0000,0.0019,0.0007,0.0000,0.0000,0.0000,0.0000
site_184,1382,0.0668,0.0238,0.0035,0.0026,0.0022,0.0003,0.0015,0.0064,0.0064,0.0005,0.8307,0.0028,0.0005,0.0411,0.0098,0.0000,0.0000,0.0000,0.0000,0.0007,0.0006,0.0000,0.0000,0.0000,0.0000
site_185,1382,0.0205,0.0053,0.0093,0.0008,0.0120,0.0009,0.0062,0.0035,0.0047,0.0006,0.8946,0.0021,0.0012,0.0275,0.0075,0.0000,0.0000,0.0000,0.0000,0.0011,0.0023,0.0000,0.0000,0.0000,0.0000
site_186,1382,0.0822,0.0077,0.0098,0.0017,0.0080,0.0007,0.0052,0.0077,0.0095,0.0025,0.8019,0.0039,0.0019,0.0324,0.0201,0.0000,0.0000,0.0000,0.0000,0.0027,0.0021,0.0000,0.0000,0.0000,0.0000
site_187,1382,0.0489,0.0120,0.0035,0.0012,0.0020,0.0002,0.0010,0.0006,0.0009,0.0003,0.8829,0.0038,0.0009,0.0325,0.0064,0.0030,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
site_188,1691,0.0664,0.0200,0.0065,0.0014,0.0075,0.0004,0.0032,0.0056,0.0085,0.0012,0.8643,0.0000,0.0000,0.0098,0.0054,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
site_189,1691,0.0356,0.0300,0.0053,0.0037,0.0034,0.0008,0.0019,0.0204,0.0314,0.0007,0.8200,0.0000,0.0000,0.0334,0.0117,0.0000,0.0000,0.0000,0.0000,0.0014,0.0006,0.0000,0.0000,0.0000,0.0000
site_190,1691,0.2571,0.1873,0.0110,0.0163,0.0030,0.0003,0.0011,0.0057,0.0104,0.0013,0.4727,0.0000,0.0000,0.0227,0.0111,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
site_191,1691,0.0562,0.0153,0.0092,0.0022,0.0059,0.0005,0.0029,0.0031,0.0045,0.0006,0.8849,0.0000,0.0000,0.0105,0.0041,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
site_192,1691,0.0599,0.0130,0.0102,0.0025,0.0094,0.0008,0.0055,0.0042,0.0065,0.0008,0.8682,0.0000,0.0000,0.0140,0.0051,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
site_193,1691,0.1383,0.0522,0.0108,0.0015,0.0131,0.0018,0.0125,0.0086,0.0101,0.0012,0.7173,0.0038,0.0028,0.0169,0.0069,0.0000,0.0000,0.0000,0.0000,0.0017,0.0004,0.0000,0.0000,0.0000,0.0000
site_194,1572,0.1101,0.0332,0.0281,0.0057,0.0312,0.0022,0.0206,0.0169,0.0211,0.0042,0.7127,0.0000,0.0000,0.0084,0.0058,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
site_195,1572,0.1136,0.0431,0.0124,0.0087,0.0166,0.0013,0.0066,0.0231,0.0348,0.0080,0.7199,0.0000,0.0000,0.0095,0.0025,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
site_196,1572,0.3435,0.1436,0.0104,0.0236,0.0023,0.0000,0.0030,0.0010,0.0031,0.0000,0.4559,0.0000,0.0000,0.0081,0.0054,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
site_197,1572,0.2016,0.1200,0.0149,0.0194,0.0069,0.0015,0.0049,0.0140,0.0218,0.0039,0.5754,0.0000,0.0000,0.0105,0.0052,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
site_198,1572,0.1181,0.0338,0.0085,0.0070,0.0083,0.0008,0.0047,0.0113,0.0156,0.0041,0.7689,0.0000,0.0000,0.0138,0.0052,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
site_199,3518,0.0384,0.0000,0.0177,0.0000,0.0132,0.0000,0.0016,0.0021,0.0006,0.0000,0.9264,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
site_200,3518,0.0135,0.0054,0.0034,0.0022,0.0051,0.0000,0.0000,0.0000,0.0000,0.0000,0.9534,0.0000,0.0000,0.0103,0.0068,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
site_201,3518,0.0115,0.0000,0.0068,0.0000,0.0048,0.0012,0.0024,0.0000,0.0000,0.0000,0.9635,0.0011,0.0012,0.0050,0.0026,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
site_202,3518,0.0268,0.0025,0.0012,0.0071,0.0025,0.0052,0.0000,0.0000,0.0000,0.0000,0.9340,0.0040,0.0099,0.0050,0.0018,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
site_203,3518,0.0241,0.0040,0.0038,0.0015,0.0025,0.0009,0.0014,0.0000,0.0000,0.0000,0.9502,0.0000,0.0000,0.0088,0.0028,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
site_204,3518,0.0085,0.0025,0.0011,0.0004,0.0021,0.0009,0.0012,0.0000,0.0000,0.0000,0.9705,0.0008,0.0020,0.0063,0.0038,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
site_205,3518,0.0088,0.0000,0.0022,0.0000,0.0025,0.0000,0.0000,0.0000,0.0000,0.0000,0.9804,0.0000,0.0000,0.0047,0.0014,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
site_206,3518,0.0132,0.0000,0.0081,0.0000,0.0056,0.0000,0.0024,0.0000,0.0000,0.0000,0.9655,0.0000,0.0000,0.0052,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
site_207,3518,0.0122,0.0026,0.0065,0.0000,0.0018,0.0000,0.0000,0.0000,0.0000,0.0000,0.9622,0.0012,0.0044,0.0058,0.0033,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
site_208,3518,0.0059,0.0015,0.0007,0.0004,0.0007,0.0000,0.0000,0.0000,0.0004,0.0000,0.9757,0.0053,0.0039,0.0055,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
site_209,3518,0.0277,0.0062,0.0060,0.0013,0.0046,0.0003,0.0024,0.0019,0.0018,0.0000,0.9234,0.0058,0.0048,0.0101,0.0037,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
site_210,470,0.0593,0.0090,0.0071,0.0098,0.0083,0.0025,0.0050,0.0533,0.0824,0.0151,0.5601,0.0440,0.0045,0.0331,0.0911,0.0016,0.0039,0.0000,0.0000,0.0022,0.0079,0.0000,0.0000,0.0000,0.0000
site_211,470,0.0301,0.0072,0.0071,0.0105,0.0098,0.0042,0.0060,0.0653,0.0976,0.0103,0.5297,0.0694,0.0069,0.0278,0.0976,0.0025,0.0066,0.0000,0.0000,0.0045,0.0067,0.0000,0.0000,0.0000,0.0000
site_212,470,0.0251,0.0043,0.0034,0.0037,0.0040,0.0014,0.0030,0.0437,0.0661,0.0070,0.6298,0.0618,0.0065,0.0273,0.0957,0.0010,0.0075,0.0000,0.0000,0.0030,0.0060,0.0000,0.0000,0.0000,0.0000
site_213,472,0.0588,0.0075,0.0086,0.0083,0.0111,0.0041,0.0070,0.0698,0.1215,0.0176,0.4568,0.0690,0.0079,0.0389,0.0927,0.0010,0.0102,0.0000,0.0000,0.0031,0.0061,0.0000,0.0000,0.0000,0.0000
site_214,470,0.0225,0.0062,0.0044,0.0065,0.0052,0.0036,0.0038,0.0482,0.0835,0.0191,0.6197,0.0582,0.0073,0.0308,0.0692,0.0009,0.0041,0.0000,0.0000,0.0022,0.0046,0.0000,0.0000,0.0000,0.0000
site_215,458,0.0091,0.0025,0.0012,0.0013,0.0013,0.0019,0.0000,0.0153,0.0202,0.0057,0.8372,0.0040,0.0025,0.0683,0.0262,0.0000,0.0000,0.0000,0.0000,0.0018,0.0014,0.0000,0.0000,0.0000,0.0000
site_216,458,0.0321,0.0038,0.0017,0.0020,0.0027,0.0009,0.0018,0.0227,0.0392,0.0058,0.8159,0.0128,0.0022,0.0253,0.0284,0.0000,0.0000,0.0000,0.0000,0.0014,0.0015,0.0000,0.0000,0.0000,0.0000
site_217,458,0.0171,0.0011,0.0034,0.0052,0.0050,0.0022,0.0023,0.0318,0.0553,0.0153,0.8165,0.0262,0.0000,0.0126,0.0059,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
site_218,458,0.0510,0.0080,0.0104,0.0124,0.0117,0.0066,0.0077,0.1217,0.1993,0.0468,0.1271,0.1701,0.0128,0.0667,0.1362,0.0000,0.0000,0.0000,0.0000,0.0046,0.0066,0.0000,0.0000,0.0000,0.0000
site_219,534,0.0229,0.0024,0.0087,0.0000,0.0160,0.0068,0.0082,0.1357,0.2055,0.0644,0.2971,0.0796,0.0089,0.0223,0.1045,0.0171,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
site_220,534,0.0036,0.0002,0.0005,0.0041,0.0018,0.0007,0.0006,0.0075,0.0127,0.0035,0.8765,0.0223,0.0061,0.0317,0.0212,0.0000,0.0000,0.0000,0.0000,0.0037,0.0031,0.0000,0.0000,0.0000,0.0000
site_221,534,0.0657,0.0097,0.0100,0.0150,0.0181,0.0067,0.0091,0.0781,0.1152,0.0208,0.3633,0.0744,0.0090,0.0447,0.1240,0.0038,0.0108,0.0000,0.0000,0.0036,0.0180,0.0000,0.0000,0.0000,0.0000
site_222,534,0.1113,0.0203,0.0132,0.0227,0.0191,0.0073,0.0091,0.1045,0.1588,0.0311,0.4551,0.0109,0.0000,0.0154,0.0149,0.0000,0.0000,0.0000,0.0000,0.0049,0.0014,0.0000,0.0000,0.0000,0.0000
site_223,444,0.1659,0.0720,0.0188,0.0120,0.0240,0.0072,0.0121,0.1386,0.1953,0.0192,0.3067,0.0000,0.0000,0.0136,0.0107,0.0000,0.0000,0.0000,0.0000,0.0028,0.0010,0.0000,0.0000,0.0000,0.0000
site_224,444,0.1414,0.0027,0.0119,0.0115,0.0193,0.0000,0.0115,0.1053,0.1523,0.0134,0.4007,0.0244,0.0296,0.0285,0.0147,0.0062,0.0000,0.0104,0.0000,0.0048,0.0036,0.0022,0.0020,0.0028,0.0009
site_225,444,0.1701,0.0026,0.0036,0.0024,0.0118,0.0043,0.0093,0.0331,0.0366,0.0148,0.6568,0.0000,0.0000,0.0377,0.0170,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
site_226,444,0.1343,0.0483,0.0160,0.0107,0.0269,0.0059,0.0112,0.1271,0.1740,0.0122,0.3946,0.0015,0.0000,0.0278,0.0096,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
site_227,444,0.0792,0.0217,0.0063,0.0088,0.0171,0.0053,0.0084,0.1028,0.1405,0.0262,0.5072,0.0034,0.0000,0.0472,0.0223,0.0000,0.0000,0.0000,0.0000,0.0020,0.0015,0.0000,0.0000,0.0000,0.0000
site_228,671,0.1635,0.0489,0.0276,0.0101,0.0429,0.0039,0.0301,0.1225,0.1437,0.0643,0.2977,0.0049,0.0019,0.0150,0.0048,0.0035,0.0035,0.0038,0.0000,0.0071,0.0000,0.0000,0.0000,0.0000,0.0000
site_229,1189,0.0806,0.0168,0.0084,0.0131,0.0159,0.0044,0.0078,0.0539,0.0762,0.0188,0.6747,0.0037,0.0027,0.0175,0.0042,0.0000,0.0000,0.0000,0.0000,0.0013,0.0000,0.0000,0.0000,0.0000,0.0000